char	char_sim	initial	final	tone	cat	char_ref	details
焙	焙	p	ui	6	0		
蓓	蓓	p	ue	6	0		
蓓	蓓	p	ui	6	0		
碚	碚	p	ue	5	0		
碚	碚	p	ai	5	0		
鞁	鞁	p	i	6	0		
誖	悖	p	ue	6	0		
褙	褙	p	ue	6	0		
輩	辈	p	ue	3	0		
輩	辈	p	ui	3	0		
鋇	钡	p	ue	6	0		
憊	惫	p	i	6	0		
鞴	鞴	p	i	6	0		
唄	呗	p	ai	1	0		
唄	呗	p	e	1	0		
奔	奔	p	un	1	2		
奔	奔	p	eng	1	3		外来语::奔驰@peng1-si6
栟	栟	p	eng	6	0		
逩	逩	ph	un	3	0		
賁	贲	p	i	3	0		
賁	贲	ph	un	1	0		
錛	锛	ph	un	1	0		
本	本	p	ng	2	1		
本	本	p	un	2	2		
苯	苯	p	un	2	0		
畚	畚	p	un	3	0		
笨	笨	p	un	2	0		
崩	崩	p	ang	1	1		
崩	崩	p	eng	1	2		
繃	绷	p	ang	1	3		
繃	绷	p	ang	2	3		
甭	甭	p	ong	2	3		
甭	甭	p	ng	2	3		
泵	泵	p	ong	5	0		
迸	迸	p	eng	6	0		
甏	甏	ph	ang	5	0		
蹦	蹦	p	ang	1	0		
逼	逼	p	ek	4	0		
屄	屄	ts	i	1	3	腟	
腟	腟	ts	i	1	0		
荸	荸	p	uat	8	0		
鼻	鼻	ph	inn'	7	1		
鼻	鼻	p	i	6	2		
匕	匕	p	i	3	0		
比	比	p	i	2	0		
妣	妣	p	i	2	0		
彼	彼	p	i	2	0		
秕	秕	p	i	2	0		
俾	俾	p	i	6	0		
筆	笔	p	it	4	0		
鄙	鄙	ph	i	2	0		
魮	𱇒	p	i	2	0		
必	必	p	it	4	0		
庇	庇	p	i	3	0		
苾	苾	p	it	8	0		
畀	畀	p	i	6	0		
毖	毖	p	i	3	0		
陛	陛	p	i	6	0		
畢	毕	p	it	8	0		
狴	狴	p	i	2	0		
閉	闭	p	i	6	0		
敝	敝	p	i	6	0		
婢	婢	p	i	6	0		
愎	愎	p	ek	4	0		
弼	弼	p	it	8	0		
蓽	荜	p	it	8	0		
蓖	蓖	p	i	1	0		
嗶	哔	p	it	8	0		
鉍	铋	p	it	4	0		
痹	痹	p	i	3	0		
煏	煏	p	ek	4	0		
裨	裨	p	i	1	0		
碧	碧	ph	ek	4	0		
蔽	蔽	p	i	6	0		
箅	箅	p	in	2	0		
弊	弊	p	i	7	0		
幣	币	p	i	6	0		
獘	獘	p	i	6	0		
薜	薜	ph	ek	4	0		
觱	觱	p	it	4	0		
篳	筚	p	it	8	0		
篦	篦	p	in	3	0		
壁	壁	p	iah	4	1		
壁	壁	p	ek	4	2		
避	避	p	i	7	0		
嬖	嬖	ph	i	3	0		
蹕	跸	p	it	8	0		
髀	髀	p	i	5	0		
斃	毙	p	i	6	0		
濞	濞	ph	i	3	0		
臂	臂	p	i	3	0		
璧	璧	p	iah	4	0		
璧	璧	p	ek	4	1		
襞	襞	ph	ek	4	2		
贔	赑	p	i	6	0		
砭	砭	ph	in	2	0		
萹	萹	p	ian	2	0		
蝙	蝙	ph	ian	1	0		
編	编	p	inn	1	0		
編	编	ph	ian	1	0		
鞭	鞭	p	ian	1	2		
鞭	鞭	p	inn	1	1		
邊	边	p	ian	1	2		
邊	边	p	inn	1	1		
鯿	鳊	p	ian	1	0		
籩	笾	p	ian	1	0		
扁	扁	p	inn	2	1		
扁	扁	p	ian	2	2		
扁	扁	ph	ian	1	2		
匾	匾	p	in	2	1		
匾	匾	p	ian	2	2		
貶	贬	ph	in	2	1		
貶	贬	p	ian	2	2		
碥	碥	p	ian	2	0		
稨	稨	p	ian	2	0		
褊	褊	ph	ian	1	0		
藊	藊	p	ian	2	0		
卞	卞	p	ian	6	0		
弁	弁	p	ian	6	0		
汴	汴	p	ian	6	0		
忭	忭	p	ian	6	0		
便	便	p	ian	6	2		
便	便	ph	ian	1	2		
便	便	ph	inn	1	1		
遍	遍	p	in	3	1		
遍	遍	p	ian	3	2		
遍	遍	p	inn	3	1		
辨	辨	p	ian	6	0		
辮	辫	p	inn	1	3		
辮	辫	p	ian	6	2		
辯	辩	p	ian	6	0		
變	变	p	ian	3	2		
變	变	p	inn	3	1		
杓	杓	ph	iau	1	0		
杓	杓	ts	iak	4	0		
彪	彪	p	iu	1	0		
標	标	p	io	1	1		
標	标	ph	iau	1	2		
膘	膘	p	io	1	1		
膘	膘	ph	iau	1	2		
麃	麃	p	au	1	0		
瘭	瘭	ph	iau	1	0		
鏢	镖	p	io	1	1		
鏢	镖	ph	iau	1	2		
驃	骠	ph	iau	1	0		
飆	飙	ph	iau	1	0		
飈	飚	ph	iau	1	0		
鑣	镳	p	io	1	1		
鑣	镳	ph	iau	1	2		
表	表	p	io	2	1		表弟
表	表	p	iau	2	2		发表
婊	婊	p	iau	2	0		
裱	裱	p	io	3	1		
裱	裱	p	iau	3	2		
錶	表	p	io	1	1		手表
錶	表	p	iau	1	2		
俵	俵	p	iau	2	0		
鰾	鳔	ph	io	6	1		
鰾	鳔	ph	iau	6	2		
憋	憋	p	i	6	0		
鱉	鳖	p	ih	4	1		
鱉	鳖	p	iat	4	2		
別	别	p	iat	8	2		分别
別	别	p	at	8	1		别人
蹩	蹩	p	i	6	0		
癟	瘪	p	it	8	0		
彆	别	p	iat	8	0		
邠	邠	p	in	1	0		
彬	彬	p	in	1	0		
斌	斌	p	in	1	0		
賓	宾	p	in	1	0		
儐	傧	p	in	1	0		
豳	豳	p	in	1	0		
濱	滨	p	in	1	0		
檳	槟	p	in	1	0		
瀕	濒	ph	in	5	0		
繽	缤	p	in	1	0		
擯	摈	p	in	3	0		
殯	殡	p	in	3	0		
臏	膑	p	in	3	0		
髕	髌	p	in	3	0		
鬢	鬓	p	in	3	0		
冰	冰	p	iann	1	1		
冰	冰	p	eng	1	2		
兵	兵	p	iann	1	1		
兵	兵	p	eng	1	2		
丙	丙	p	iann	2	1		
丙	丙	p	eng	2	2		
邴	邴	p	eng	2	0		
秉	秉	p	eng	2	0		
柄	柄	p	enn	3	0		
柄	柄	p	eng	3	0		
炳	炳	p	eng	2	0		
稟	禀	p	in	2	0		
餅	饼	p	iann	2	1		
餅	饼	p	eng	2	2		
并	并	p	eng	6	0		
併	并	p	eng	3	2		
併	并	p	iann	3	1		
